Episode Number,Episode Title,Episode Description,Episode Date,Episode URL
1,You Don't Have Time Not To Think!,"In this episode, Drs. Derek and Laura Cabrera discuss what UpThinking is, how to do it, how to measure it, and why we care about thinking so much in the first place.",3/27/2024,https://youtu.be/w94Dqj5A19E?si=2cdFEGNlngqckE1Q
2,Love Reality,"The Drs. Cabrera discuss what it means to love reality, why you should love reality, and the high cost of ignoring reality.",4/3/2024,https://youtu.be/14h1PTqDOtI?si=MjqAnjgSen55O195
3,Is TQ The New IQ?,"In this week's episode, Derek and Laura talk about the IQ test, where it's lacking, and how the TQ is a more accurate and better replacement",4/10/2024,https://youtu.be/pzSR8Jknt4w?si=f1XjoDwysyjLOH3M
4,Practice Makes Progress,"Drs. Derek and Laura Cabrera discuss the power of practice, how thinking can be practiced just like anything else, and how dinner time led to being on the cutting edge of cognitive practice.",4/17/2024,https://youtu.be/TLI_T0NqUGg?si=DkavxhnBQfmZunPI
5,Rethinking Education,"In this week's episode, Drs. Derek and Laura Cabrera rethink the education system while sharing stories from their own personal educational experiences...",4/24/2024,https://youtu.be/ivqJtS4rodk?si=GXr0E9i8iZ_o2UqE
6,Heal Your Self: How to get over something you can’t get over,"In this emotional episode, Drs. Derek and Laura Cabrera speak on healing from childhood trauma, what it truly means to be an 'adult,' and how to get over something you just can't seem to get over.",5/1/2024,https://youtu.be/95yE9cIK6qg?si=jDh8EcG3BlVN7IGQ
7,Overthinking: It's NOT a Thing,"In this episode, Drs. Derek and Laura Cabrera discuss the issue of overthinking. More specifically, how there's no such thing as overthinking. Instead, we are underthinking. 
",5/8/2024,https://youtu.be/tuCS6lSvlH0?si=cTRysG8WveZe1NV-
8,The War on Goop,"In this week's episode, Drs. Derek and Laura Cabrera discuss what goop means, why you should be aware of it, and what you can do to avoid the gauntlet of goop.",5/15/2024,https://youtu.be/7pkhERnbbs8?si=IihJtQeGtJOhHGhn
9,Thinking Critically About Critical Thinking,"In this week's episode, Drs. Derek and Laura Cabrera tackle critical thinking. They explore what it means to critically think about something, and if it is always the best way to approach a problem. Additionally, they discuss how critical thinking as a whole, is just a bias. Listen now to learn more!",5/22/2024,https://youtu.be/gGx6IaaBSQ0?si=O5S5Ok19oY_sWvjn
10,"Mindsets, Ethics, and Lichens, Oh My!","In this week's episode, Drs. Derek and Laura Cabrera discuss how to move from a fixed mindset to a growth mindset. They also tackle ethics and how ethics are actually born of both mind and nature, which leads them to a concluding discussion on how the brain is symbiotic, just like lichens. Listen now!",5/29/2024,https://youtu.be/h3rceicXUXg?si=YIGwUpWr-2ft-kUR
